==115680== NVPROF is profiling process 115680, command: ./a.out ../models/bunny.stl
==115680== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==115680== Profiling application: ./a.out ../models/bunny.stl
==115680== Profiling result:
==115680== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                        sysmem_write_bytes                                             System Memory Write Bytes         736         736         736
          1                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      99.59%      99.59%      99.59%
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                     unique_warps_launched                                              Number of warps launched        1256        1256        1256
          1                             sm_efficiency                                               Multiprocessor Activity      84.59%      84.59%      84.59%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.348975    0.348975    0.348975
          1                                       ipc                                                          Executed IPC    0.416986    0.416986    0.416986
          1                                issued_ipc                                                            Issued IPC    0.417482    0.417482    0.417482
          1                    issue_slot_utilization                                                Issue Slot Utilization       8.81%       8.81%       8.81%
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.373630    0.373630    0.373630
          1                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                        shared_utilization                                             Shared Memory Utilization     Low (2)     Low (2)     Low (2)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    High (8)    High (8)    High (8)
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                    dram_read_transactions                                       Device Memory Read Transactions      380267      380267      380267
          1                   dram_write_transactions                                      Device Memory Write Transactions       84999       84999       84999
          1                      dram_read_throughput                                         Device Memory Read Throughput  118.76MB/s  118.76MB/s  118.76MB/s
          1                     dram_write_throughput                                        Device Memory Write Throughput  26.546MB/s  26.546MB/s  26.546MB/s
          1                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                          ecc_transactions                                                      ECC Transactions           0           0           0
          1                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                           dram_read_bytes                                Total bytes read from DRAM to L2 cache    12168544    12168544    12168544
          1                          dram_write_bytes                             Total bytes written from L2 cache to DRAM     2719968     2719968     2719968
