==115363== NVPROF is profiling process 115363, command: ./a.out ../models/club.stl
==115363== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==115363== Profiling application: ./a.out ../models/club.stl
==115363== Profiling result:
==115363== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: pps(triangle*, unsigned long, bool*)
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions         768         768         768
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics         768         768         768
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor     1732479     1732479     1732479
          1                       local_load_requests               Total number of local load requests from Multiprocessor      100198      100198      100198
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor      100018      100018      100018
          1                      local_store_requests              Total number of local store requests from Multiprocessor        5210        5210        5210
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor          24          24          24
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor          24          24          24
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      99.97%      99.97%      99.97%
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                     unique_warps_launched                                              Number of warps launched        1256        1256        1256
          1                             sm_efficiency                                               Multiprocessor Activity      82.67%      82.67%      82.67%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.352866    0.352866    0.352866
          1                                       ipc                                                          Executed IPC    0.429172    0.429172    0.429172
          1                                issued_ipc                                                            Issued IPC    0.429333    0.429333    0.429333
          1                    issue_slot_utilization                                                Issue Slot Utilization       9.00%       9.00%       9.00%
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.382292    0.382292    0.382292
          1                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                        shared_utilization                                             Shared Memory Utilization     Low (2)     Low (2)     Low (2)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    High (8)    High (8)    High (8)
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                    dram_read_transactions                                       Device Memory Read Transactions        1331        1331        1331
          1                   dram_write_transactions                                      Device Memory Write Transactions       22265       22265       22265
          1                      dram_read_throughput                                         Device Memory Read Throughput  3.1457MB/s  3.1457MB/s  3.1457MB/s
          1                     dram_write_throughput                                        Device Memory Write Throughput  52.622MB/s  52.622MB/s  52.622MB/s
          1                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                          ecc_transactions                                                      ECC Transactions           0           0           0
          1                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                           dram_read_bytes                                Total bytes read from DRAM to L2 cache       42592       42592       42592
          1                          dram_write_bytes                             Total bytes written from L2 cache to DRAM      712480      712480      712480
