==2933676== NVPROF is profiling process 2933676, command: ./fps ../models/bunny.stl
==2933676== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2933676== Profiling application: ./fps ../models/bunny.stl
==2933676== Profiling result:
==2933676== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"local_store",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"local_load",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_load",642023424,642023424,642023424,642023424
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_store",80252928,80252928,80252928,80252928
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"inst_executed_shared_atom_cas",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_atom",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"global_atom_cas",8738,8738,8738,8738
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"atom_count",8738,8738,8738,8738
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"gred_count",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"divergent_branch",8916992,8916992,8916992,8916992
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"branch",436967560,436967560,436967560,436967560
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_ld_bank_conflict",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_st_bank_conflict",0,0,0,0
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_ld_transactions",642023424,642023424,642023424,642023424
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"shared_st_transactions",160505856,160505856,160505856,160505856
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"active_cycles_pm",23834220079,23834220079,23834220079,23834220079
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"active_warps_pm",109626899548,109626899548,109626899548,109626899548
"TITAN Xp (0)","fps1(triangle*, unsigned long, char*, unsigned long*, int*)",1,"elapsed_cycles_pm",23834351030,23834351030,23834351030,23834351030
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"tex0_cache_sector_queries",279062,279062,279062,279062
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"tex1_cache_sector_queries",239935,239935,239935,239935
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"tex0_cache_sector_misses",226381,226381,226381,226381
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"tex1_cache_sector_misses",245558,245558,245558,245558
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"fb_subp0_read_sectors",14015,14015,14015,14015
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"fb_subp1_read_sectors",13893,13893,13893,13893
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"fb_subp0_write_sectors",38329,38329,38329,38329
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"fb_subp1_write_sectors",38178,38178,38178,38178
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_write_sector_misses",36343,36343,36343,36343
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_write_sector_misses",36116,36116,36116,36116
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_read_sector_misses",13969,13969,13969,13969
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_read_sector_misses",13939,13939,13939,13939
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_read_tex_sector_queries",88149,88149,88149,88149
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_read_tex_sector_queries",74104,74104,74104,74104
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_write_tex_sector_queries",68462,68462,68462,68462
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_write_tex_sector_queries",67673,67673,67673,67673
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_read_tex_hit_sectors",69985,69985,69985,69985
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_read_tex_hit_sectors",63140,63140,63140,63140
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_write_tex_hit_sectors",59229,59229,59229,59229
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_write_tex_hit_sectors",56615,56615,56615,56615
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_total_read_sector_queries",187000,187000,187000,187000
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_total_read_sector_queries",125383,125383,125383,125383
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_total_write_sector_queries",168688,168688,168688,168688
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_total_write_sector_queries",122763,122763,122763,122763
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp0_write_sysmem_sector_queries",1,1,1,1
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"l2_subp1_write_sysmem_sector_queries",4,4,4,4
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"elapsed_cycles_sm",56974195,56974195,56974195,56974195
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gld_inst_8bit",19136,19136,19136,19136
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gld_inst_16bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gld_inst_32bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gld_inst_64bit",32768,32768,32768,32768
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gld_inst_128bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gst_inst_8bit",11323,11323,11323,11323
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gst_inst_16bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gst_inst_32bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gst_inst_64bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gst_inst_128bit",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_00",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_01",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_02",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_03",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_04",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_05",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_06",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"prof_trigger_07",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"warps_launched",1024,1024,1024,1024
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"inst_issued0",38387582,38387582,38387582,38387582
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"inst_issued1",2622590,2622590,2622590,2622590
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"inst_issued2",653600,653600,653600,653600
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"inst_executed",3923935,3923935,3923935,3923935
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"thread_inst_executed",18138562,18138562,18138562,18138562
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"not_predicated_off_thread_inst_executed",16397246,16397246,16397246,16397246
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"active_cycles",15158419,15158419,15158419,15158419
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"active_warps",66770482,66770482,66770482,66770482
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"global_load",14375,14375,14375,14375
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"global_store",4473,4473,4473,4473
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"generic_load",53197,53197,53197,53197
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"generic_store",34334,34334,34334,34334
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"inst_executed_in_trap",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"active_cycles_in_trap",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"local_store",64374,64374,64374,64374
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"local_load",38078,38078,38078,38078
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_load",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_store",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"inst_executed_shared_atom_cas",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_atom",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"global_atom_cas",32805,32805,32805,32805
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"atom_count",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"gred_count",2463,2463,2463,2463
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"divergent_branch",7285,7285,7285,7285
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"branch",1137736,1137736,1137736,1137736
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_ld_bank_conflict",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_st_bank_conflict",0,0,0,0
